trade_date,gross_ret,net_ret,turnover,n_positions,cap_hit_ratio
2023-10-06,0.0046006846948232,0.0046006846948232,0.0,1,1.0
2023-10-07,-0.0011179239702265,-0.0011179239702265,0.0,1,1.0
2023-10-08,-0.002405423201194125,-0.002405423201194125,0.0,1,1.0
2023-10-11,-0.00091421022418175,-0.00103921022418175,0.25,1,1.0
2023-10-12,-0.001725629810760225,-0.001850629810760225,0.25,1,1.0
2023-10-13,-0.007519540925595375,-0.007519540925595375,0.0,1,1.0
2023-10-14,0.000324084088295525,0.000324084088295525,0.0,1,1.0
2023-10-15,-0.000924779256562225,-0.000924779256562225,0.0,1,1.0
2023-10-18,-0.000654555748823,-0.000654555748823,0.0,1,1.0
2023-10-19,0.004185997196996075,0.004185997196996075,0.0,1,1.0
2023-10-20,0.001572877721020475,0.001572877721020475,0.0,1,1.0
2023-10-21,0.00072083152698325,0.00072083152698325,0.0,1,1.0
2023-10-22,-0.007483031709148775,-0.007483031709148775,0.0,1,1.0
2023-10-25,-0.000824185989542025,-0.000949185989542025,0.25,1,1.0
2023-10-26,0.001598221735102475,0.0014732217351024748,0.25,1,1.0
2023-10-27,0.003855885925392375,0.003855885925392375,0.0,1,1.0
2023-10-28,-0.00204655784268975,-0.00204655784268975,0.0,1,1.0
2023-10-29,0.00242028391955805,0.00242028391955805,0.0,1,1.0
2023-11-01,-0.0017097681808481,-0.0017097681808481,0.0,1,1.0
2023-11-02,-0.00048924938183385,-0.00048924938183385,0.0,1,1.0
2023-11-03,0.001282010377384,0.001282010377384,0.0,1,1.0
2023-11-04,-0.001253579979038425,-0.001253579979038425,0.0,1,1.0
2023-11-05,-0.00067412990366145,-0.00067412990366145,0.0,1,1.0
2023-11-08,0.000135845304519475,0.000135845304519475,0.0,1,1.0
2023-11-09,0.00318762280407275,0.00318762280407275,0.0,1,1.0
2023-11-10,-0.000722650000505875,-0.000722650000505875,0.0,1,1.0
2023-11-11,-0.002700324238066075,-0.002700324238066075,0.0,1,1.0
2023-11-12,0.00103213530501555,0.00103213530501555,0.0,1,1.0
2023-11-15,0.003034208798244825,0.003034208798244825,0.0,1,1.0
2023-11-16,-0.001460083120276525,-0.001460083120276525,0.0,1,1.0
2023-11-17,-0.00096771740406315,-0.00096771740406315,0.0,1,1.0
2023-11-18,0.001678766977372825,0.001678766977372825,0.0,1,1.0
2023-11-19,-0.0028212206760923,-0.0028212206760923,0.0,1,1.0
2023-11-22,5.814688730176876e-06,5.814688730176876e-06,0.0,1,1.0
2023-11-23,-0.0025740221590827,-0.0025740221590827,0.0,1,1.0
2023-11-24,0.0015328378026702,0.0015328378026702,0.0,1,1.0
2023-11-25,-0.000402159457890025,-0.000402159457890025,0.0,1,1.0
2023-11-26,-0.001494404120224575,-0.001494404120224575,0.0,1,1.0
2023-11-29,-0.0048181755125123,-0.0048181755125123,0.0,1,1.0
2023-11-30,-0.00399106001400425,-0.00399106001400425,0.0,1,1.0
2023-12-01,0.000535880573070575,0.000535880573070575,0.0,1,1.0
2023-12-02,0.001733624168951175,0.001733624168951175,0.0,1,1.0
2023-12-03,0.0030562340064576,0.0030562340064576,0.0,1,1.0
2023-12-06,-4.6643100909375e-05,-4.6643100909375e-05,0.0,1,1.0
2023-12-07,-0.0011945485007765,-0.0011945485007765,0.0,1,1.0
2023-12-08,-0.001676399793891825,-0.001676399793891825,0.0,1,1.0
2023-12-09,-0.00430845270612735,-0.00430845270612735,0.0,1,1.0
2023-12-10,0.000806679907383525,0.000806679907383525,0.0,1,1.0
2023-12-13,-0.000556747630181325,-0.000556747630181325,0.0,1,1.0
2023-12-14,-0.0010753905908796,-0.0010753905908796,0.0,1,1.0
2023-12-15,0.001751442856576625,0.001751442856576625,0.0,1,1.0
2023-12-16,0.0005569616858883,0.0005569616858883,0.0,1,1.0
2023-12-17,3.3779170000175e-05,3.3779170000175e-05,0.0,1,1.0
2023-12-20,-0.00099912420377695,-0.00099912420377695,0.0,1,1.0
2023-12-21,0.001904552790585975,0.001904552790585975,0.0,1,1.0
2023-12-22,0.002304309262378,0.002304309262378,0.0,1,1.0
2023-12-23,-0.001683338137360175,-0.001683338137360175,0.0,1,1.0
2023-12-24,0.00144735883069685,0.0013223588306968499,0.25,1,1.0
2023-12-28,0.002781943180887425,0.002656943180887425,0.25,1,1.0
2023-12-29,-0.00205010656035845,-0.00205010656035845,0.0,1,1.0
2023-12-30,0.00344157323738075,0.00344157323738075,0.0,1,1.0
2023-12-31,-0.00439572899695825,-0.00439572899695825,0.0,1,1.0
2024-01-03,0.001387632586055275,0.001387632586055275,0.0,1,1.0
2024-01-04,-0.001467720515982825,-0.001467720515982825,0.0,1,1.0
2024-01-05,0.002073388463022175,0.001948388463022175,0.25,1,1.0
2024-01-06,-0.002068808845825375,-0.0021938088458253752,0.25,1,1.0
