cap_weight,pos_alpha,max_to,rebalance_every,gamma,topk,sharpe_net,ann_ret_net,mdd_net,turnover_mean
0.15,0.6,0.1,1,0.5,3,2.515337129846442,0.40390804006400893,-0.062178481192345814,0.028103265274441073
0.35,0.4,0.3,5,1.0,1,2.514929541858325,0.38980321271271356,-0.04091415602963122,0.023901076092959016
0.15,0.6,0.1,1,1.5,3,2.514276661640397,0.4051078937474719,-0.062178481192345814,0.027891235608389214
0.15,0.4,0.3,1,1.5,3,2.5134017493560146,0.4080768543193527,-0.06301782363468766,0.0035555555555555553
0.15,0.4,0.5,1,1.0,3,2.5134017493560146,0.4080768543193527,-0.06301782363468766,0.0035555555555555553
0.15,0.4,0.5,1,0.5,3,2.5134017493560146,0.4080768543193527,-0.06301782363468766,0.0035555555555555553
0.15,0.4,0.5,1,1.5,3,2.5134017493560146,0.4080768543193527,-0.06301782363468766,0.0035555555555555553
0.15,0.4,0.3,1,1.0,3,2.5134017493560146,0.4080768543193527,-0.06301782363468766,0.0035555555555555553
0.15,0.4,0.3,1,0.5,3,2.5134017493560146,0.4080768543193527,-0.06301782363468766,0.0035555555555555553
0.35,0.6,0.5,5,0.5,3,2.5127066965817146,0.40724932134713465,-0.06173281789512619,0.03284340211720344
0.35,0.6,0.3,5,0.5,3,2.5127066965817146,0.40724932134713465,-0.06173281789512619,0.03284340211720344
0.35,0.4,0.1,5,0.5,2,2.511196939340568,0.43643665366400053,-0.06718349032774196,0.016026329048348803
0.35,0.25,0.1,5,1.0,1,2.5108898659074352,0.395443825349477,-0.04091415602963122,0.013612611192639202
0.35,0.25,0.5,5,0.5,2,2.5107682434485943,0.4361424003587031,-0.06718349032774196,0.01630746499880458
0.25,0.4,0.5,5,1.0,3,2.5094819155245682,0.4103781872723151,-0.05884361982140329,0.014004811295042946
0.25,0.4,0.3,5,1.0,3,2.5094819155245682,0.4103781872723151,-0.05884361982140329,0.014004811295042946
0.35,0.6,0.5,5,1.5,3,2.508590382789405,0.4049573771590371,-0.06173281789512619,0.0334556626138931
0.15,0.6,0.5,1,1.0,3,2.5053717797955604,0.4015407925708796,-0.06277105976432862,0.028132742647040524
0.15,0.6,0.3,1,1.0,3,2.5053717797955604,0.4015407925708796,-0.06277105976432862,0.028132742647040524
0.35,0.25,0.1,5,1.5,2,2.504415984434699,0.4256494899443086,-0.06718349032774196,0.014558691935158545
0.35,0.6,0.3,5,1.5,3,2.5042008653374466,0.40407659884046687,-0.06173281789512619,0.03340583131199395
0.25,0.4,0.1,5,1.0,3,2.502813587748621,0.40882576387627734,-0.059374532172510874,0.01387959326427083
0.15,0.6,0.5,1,0.5,3,2.502162719367743,0.4003352826449631,-0.06277105976432862,0.02818703160434657
0.15,0.6,0.3,1,0.5,3,2.502162719367743,0.4003352826449631,-0.06277105976432862,0.02818703160434657
0.15,0.6,0.3,1,1.5,3,2.501282303683771,0.4015722998437996,-0.06277105976432862,0.02797497897082067
0.15,0.6,0.5,1,1.5,3,2.501282303683771,0.4015722998437996,-0.06277105976432862,0.02797497897082067
0.25,0.4,0.3,1,1.0,3,2.5010362181231596,0.39842897372994623,-0.06211313202417801,0.04809435616368885
0.25,0.4,0.5,1,1.0,3,2.5010362181231596,0.39842897372994623,-0.06211313202417801,0.04809435616368885
0.25,0.4,0.3,5,1.5,3,2.4969066936406206,0.4066445189963128,-0.05884361982140329,0.013874317372219313
0.25,0.4,0.5,5,1.5,3,2.4969066936406206,0.4066445189963128,-0.05884361982140329,0.013874317372219313
0.25,0.4,0.3,5,0.5,3,2.49635599823921,0.4074600752861952,-0.05884361982140329,0.013745427432421986
0.25,0.4,0.5,5,0.5,3,2.49635599823921,0.4074600752861952,-0.05884361982140329,0.013745427432421986
0.25,0.4,0.5,1,1.5,3,2.4956952560119077,0.39896785232617105,-0.06211313202417801,0.04784327362620227
0.25,0.4,0.3,1,1.5,3,2.4956952560119077,0.39896785232617105,-0.06211313202417801,0.04784327362620227
0.25,0.4,0.5,1,0.5,3,2.4943099320177544,0.3954315188308297,-0.06211313202417801,0.048181050375177524
0.25,0.4,0.3,1,0.5,3,2.4943099320177544,0.3954315188308297,-0.06211313202417801,0.048181050375177524
0.25,0.4,0.1,5,0.5,3,2.4901221057449554,0.4065560676110347,-0.059374532172510874,0.01365466406781782
0.25,0.4,0.1,5,1.5,3,2.4897254279190575,0.4047992201771957,-0.059374532172510874,0.013753166077887785
0.35,0.25,0.3,5,1.0,2,2.4886045611129783,0.42252385290731453,-0.06718349032774196,0.016272293519199593
0.35,0.6,0.5,5,1.0,1,2.4873935064053776,0.38609162034700195,-0.04138955628751673,0.04211964210047506
0.35,0.6,0.1,1,0.5,3,2.4873461871078777,0.38588506082627094,-0.06072890778833029,0.07762848528099006
0.35,0.6,0.1,5,1.5,2,2.487000507900733,0.4290490213185414,-0.06718349032774196,0.011654267296960152
0.35,0.4,0.3,5,1.5,2,2.484345683481461,0.41184137263488485,-0.06718349032774196,0.02470614265901053
0.35,0.25,0.5,5,1.0,2,2.48268952868459,0.4212697770396636,-0.06718349032774196,0.016272293519199593
0.25,0.4,0.3,5,1.5,2,2.4825172170335597,0.4257425275602318,-0.06718349032774196,0.012680689342005483
0.25,0.4,0.5,5,1.5,2,2.4825172170335597,0.4257425275602318,-0.06718349032774196,0.012680689342005483
0.35,0.4,0.5,5,1.5,2,2.4825074281506057,0.4112302650621369,-0.06718349032774196,0.02469285176722274
