ticker,trade_date,alpha_score
688125.SH,2025-06-30,0.002422451565433707
688627.SH,2025-06-30,0.002422716276079376
688679.SH,2025-06-30,0.0024224531441926767
920023.SH,2025-06-30,0.0024224504537228896
300086.SZ,2025-07-01,0.002422471834117059
300189.SZ,2025-07-01,0.002422455870397513
300236.SZ,2025-07-01,0.002422557436758795
300321.SZ,2025-07-01,0.002422928010855965
300344.SZ,2025-07-01,0.0024226935573730328
300391.SZ,2025-07-01,0.002422509169346952
688125.SH,2025-07-01,0.0024225782456680778
688627.SH,2025-07-01,0.0024226412009135203
688679.SH,2025-07-01,0.002422477516927274
920023.SH,2025-07-01,0.0024224556836206527
300086.SZ,2025-07-02,0.00242244288815044
300189.SZ,2025-07-02,0.0024224556921737064
300236.SZ,2025-07-02,0.002422558087082315
300321.SZ,2025-07-02,0.002422473405775355
300344.SZ,2025-07-02,0.002422541869582758
300391.SZ,2025-07-02,0.002422545225341741
688125.SH,2025-07-02,0.0024225411075526958
688627.SH,2025-07-02,0.0024227204866659195
688679.SH,2025-07-02,0.0024224793191693554
920023.SH,2025-07-02,0.0024224414124056405
300086.SZ,2025-07-03,0.002422464249263575
300189.SZ,2025-07-03,0.0024224846907137574
300236.SZ,2025-07-03,0.0024224785348068174
300321.SZ,2025-07-03,0.0024224537294388433
300344.SZ,2025-07-03,0.002422549504527958
300391.SZ,2025-07-03,0.002422447511259542
688125.SH,2025-07-03,0.002422445518644642
688627.SH,2025-07-03,0.0024226436168467524
688679.SH,2025-07-03,0.0024224433715369885
920023.SH,2025-07-03,0.0024224522115375243
300086.SZ,2025-07-04,0.002422690176523682
300189.SZ,2025-07-04,0.002422458168860886
300236.SZ,2025-07-04,0.0024224479729081116
300321.SZ,2025-07-04,0.0024224573601721614
300344.SZ,2025-07-04,0.0024225566213467754
300391.SZ,2025-07-04,0.002422449136719717
688125.SH,2025-07-04,0.00242254715644629
688627.SH,2025-07-04,0.0024226476443223294
688679.SH,2025-07-04,0.002422540215897269
920023.SH,2025-07-04,0.002422439841191819
300086.SZ,2025-07-07,0.0024224664020974286
300189.SZ,2025-07-07,0.002422516918345788
300236.SZ,2025-07-07,0.0024224408702766794
300321.SZ,2025-07-07,0.0024224571751765706
300344.SZ,2025-07-07,0.002422453941316139
300391.SZ,2025-07-07,0.0024224462539155973
688125.SH,2025-07-07,0.002422457853448181
688627.SH,2025-07-07,0.002422681687649022
688679.SH,2025-07-07,0.0024224465400561486
920023.SH,2025-07-07,0.0024224374231306164
300086.SZ,2025-07-08,0.002422484423298935
300189.SZ,2025-07-08,0.0024225152920829165
300236.SZ,2025-07-08,0.0024224776424768427
300321.SZ,2025-07-08,0.0024224555663719728
300344.SZ,2025-07-08,0.0024224433055452135
300391.SZ,2025-07-08,0.0024224454128473263
688125.SH,2025-07-08,0.002422452391379175
688627.SH,2025-07-08,0.0024225803138023774
688679.SH,2025-07-08,0.0024225699531609996
920023.SH,2025-07-08,0.002422544022268272
300086.SZ,2025-07-09,0.0024224830191023595
300189.SZ,2025-07-09,0.002422462779089966
300236.SZ,2025-07-09,0.0024225438533623514
300321.SZ,2025-07-09,0.0024224818589886907
300344.SZ,2025-07-09,0.0024224614043852647
300391.SZ,2025-07-09,0.002422440600824003
688125.SH,2025-07-09,0.0024224441010641763
688627.SH,2025-07-09,0.0024225680839350876
688679.SH,2025-07-09,0.0024224520119451856
920023.SH,2025-07-09,0.002422451318027823
300086.SZ,2025-07-10,0.002422501069133853
300189.SZ,2025-07-10,0.0024224711478491156
300236.SZ,2025-07-10,0.0024224645540888295
300321.SZ,2025-07-10,0.002422457923708047
300344.SZ,2025-07-10,0.00242244747771077
300391.SZ,2025-07-10,0.0024224383315011077
688125.SH,2025-07-10,0.0024224478842776874
688627.SH,2025-07-10,0.0024225370236413404
